match,velocity,north,east,lat,lon,current_velocity,current_latitude,current_longitude,delta_time,u1,u2
1,9.04618549346924,0.0,1.0,41.849488198748766,-72.642716531817783,8.63011455535889,41.914088332925765,-72.625980324085972,540,14878,14880
1,48.7921371459961,0.0,1.0,42.30459692907926,-72.621964600086343,18.837272644043,42.320018421157869,-72.627733956362349,180,14878,14879
1,48.7921371459961,0.0,1.0,42.30459692907926,-72.621964600086343,28.3469390869141,42.345079738596823,-72.64173710087573,407,14878,14880
1,48.7921371459961,0.0,1.0,42.30459692907926,-72.621964600086343,28.3469390869141,42.34504225993836,-72.641765635028534,407,14878,14881
1,79.8523864746094,0.0,1.0,35.776433194362916,-119.35071290161069,78.9389724731445,35.867893716315351,-119.38859117470946,273,14878,14879
1,34.7905616760254,0.0,1.0,35.016214771861051,-97.356666751243537,61.5902900695801,35.080507109354741,-97.378912533483629,160,14878,14879
1,34.7905616760254,0.0,1.0,35.016214771861051,-97.356666751243537,76.2975463867188,35.1732357701688,-97.413665926257963,537,14878,14880
1,22.9756107330322,0.0,1.0,39.954731423051726,-75.181474554751233,27.2999992370605,39.96036874637182,-75.182090687121345,192,14878,14879
1,22.9756107330322,0.0,1.0,39.954731423051726,-75.181474554751233,45.9000015258789,40.003526110929279,-75.11311451832556,565,14878,14880
1,41.9806518554688,0.0,1.0,39.078864411042034,-94.419700382699858,22.3358459472656,39.087333844319538,-94.431343617649247,180,14878,14879
1,41.9806518554688,0.0,1.0,39.078864411042034,-94.419700382699858,23.9538497924805,39.087947138145132,-94.435125464295467,360,14878,14880
1,109.199996948242,0.0,1.0,41.663098279408658,-71.446427069441853,137.800003051758,41.747552470732145,-71.434722642172034,180,14878,14879
1,109.199996948242,0.0,1.0,41.663098279408658,-71.446427069441853,26.006664276123,41.827410682156419,-71.412281654856145,539,14878,14880
1,0.161059677600861,0.0,1.0,42.94184151223871,-87.925253139149078,43.8936500549316,42.947963725800896,-87.92564095377621,179,14878,14879
1,0.161059677600861,0.0,1.0,42.94184151223871,-87.925253139149078,15.9896469116211,43.028595196995305,-87.911365920843778,536,14878,14880
1,25.4948501586914,0.0,1.0,41.4867059328408,-87.708532345451943,0.0,41.494272639791014,-87.704494024225014,277,14878,14879
1,76.1179504394531,0.0,1.0,37.425257144396674,-104.22181144293599,72.8308868408203,37.499944249743884,-104.16508769272559,300,14879,14880
1,38.1397514343262,0.0,1.0,47.071794336972772,-122.69431261622194,68.207893371582,47.142629793482726,-122.51711073163658,571,14879,14881
1,79.6100463867188,0.0,1.0,29.84596626430902,-81.620463735067631,69.1958770751953,29.933933572251611,-81.6615899758941,324,14879,14880
1,79.6100463867188,0.0,1.0,29.84596626430902,-81.620463735067631,25.159309387207,29.979323819770194,-81.682883421404256,592,14879,14881
1,14.9136791229248,0.0,1.0,43.126023220923791,-78.939296105220663,24.7651634216309,43.12628631851944,-78.949572113057414,360,14879,14880
1,79.0243759155273,0.0,1.0,42.389927205519605,-87.915662929079488,77.4831314086914,42.500080410434073,-87.9166649040601,359,14879,14880
1,17.9067039489746,0.0,1.0,41.299870316260993,-72.923882666779278,24.5876502990723,41.308898967611675,-72.919013605670784,371,14879,14880
1,3.03776454925537,0.0,1.0,32.717785827639091,-117.1701855477594,0.0111846998333931,32.754251482607273,-117.19951906915651,357,14879,14880
1,38.2018890380859,0.0,1.0,41.012977348048921,-93.309508929710276,46.1119384765625,41.041815092402935,-93.384063735174891,312,14879,14880
1,68.6785354614258,0.0,1.0,40.396806483871885,-118.30109168357869,68.4704971313477,40.498388957475754,-118.29530086957512,375,14879,14880
1,12.5889797210693,0.0,1.0,31.792656018282987,-90.407896109719672,70.6623077392578,31.846880645674872,-90.3957389467144,386,14879,14880
1,10.115442276001,0.0,1.0,41.852513254349759,-72.6420756627936,8.63011455535889,41.9140659699789,-72.625947994262731,359,14879,14880
1,27.2999992370605,0.0,1.0,39.960358103145758,-75.182115424296327,45.9000015258789,40.003533543627292,-75.11312003786243,373,14879,14880
1,55.1901702880859,0.0,1.0,45.40396665138995,-122.56671823685625,46.295711517334,45.475449078558853,-122.63977254326231,446,14879,14880
1,137.800003051758,0.0,1.0,41.747509917080336,-71.434738837450908,26.006664276123,41.8274375046802,-71.412313369412757,359,14879,14880
1,43.8936500549316,0.0,1.0,42.947937399225381,-87.925672756928392,15.9896469116211,43.028609636060786,-87.911353594396587,357,14879,14880
1,43.8936500549316,0.0,1.0,42.947937399225381,-87.925672756928392,0.0,43.028581092236848,-87.911336945325061,564,14879,14881
1,43.8936500549316,0.0,1.0,42.947937399225381,-87.925672756928392,0.0,43.028581811739272,-87.911358352765433,564,14879,14882
1,43.8936500549316,0.0,1.0,42.947937399225381,-87.925672756928392,0.0,43.028595077910353,-87.911341357316189,564,14879,14883
1,43.8936500549316,0.0,1.0,42.947937399225381,-87.925672756928392,0.0,43.028582118858118,-87.911319712663854,564,14879,14884
1,43.8936500549316,0.0,1.0,42.947937399225381,-87.925672756928392,0.0,43.028606209723932,-87.911331150107841,564,14879,14884
1,0.0,0.0,1.0,41.494247590367635,-87.704504025003061,16.5284690856934,41.4957896423381,-87.703771326343414,330,14879,14880
1,38.1397514343262,0.0,1.0,47.071794336972772,-122.69431261622194,68.207893371582,47.14266080852633,-122.51710109798336,571,14880,14881
1,0.0,0.0,1.0,41.879007853244069,-87.6393057527007,14.1195650100708,41.871625526310531,-87.6378189797925,365,14880,14887
1,69.1958770751953,0.0,1.0,29.933925573815824,-81.6616014463589,25.159309387207,29.97934524318174,-81.682861127524475,268,14880,14881
1,62.248950958252,0.0,1.0,41.404396820830158,-73.947541755415486,77.2974624633789,41.541972485596055,-73.975626922697941,454,14880,14881
1,77.4831314086914,0.0,1.0,42.500030830983569,-87.916692909833884,10.1042575836182,42.578978485367777,-87.904964849835935,358,14880,14881
1,77.4831314086914,0.0,1.0,42.500030830983569,-87.916692909833884,3.99293780326843,42.580227667613649,-87.904958026688945,537,14880,14882
1,0.0111846998333931,0.0,1.0,32.754242892473144,-117.19955872441872,35.3311500549316,32.758814153867647,-117.20118159430947,359,14880,14881
1,0.0111846998333931,0.0,1.0,32.754242892473144,-117.19955872441872,72.9675979614258,32.809072820055889,-117.21619951446736,524,14880,14882
1,0.0,0.0,1.0,33.193004805804946,-117.37831197321779,71.2339706420898,33.171798346619163,-117.36226729367479,305,14880,14886
1,0.0,0.0,1.0,33.193004805804946,-117.37831197321779,84.1398468017578,33.12480650621653,-117.32706782867311,485,14880,14887
1,68.4704971313477,0.0,1.0,40.498388066476267,-118.29534676275603,68.8172225952148,40.592759227563342,-118.25964699108815,362,14880,14881
1,68.4704971313477,0.0,1.0,40.498388066476267,-118.29534676275603,67.3430786132813,40.632806263401406,-118.21927364617595,541,14880,14882
1,70.6623077392578,0.0,1.0,31.846876229092679,-90.395757742171043,19.243860244751,31.864542527006016,-90.393894092834984,376,14880,14881
1,70.6623077392578,0.0,1.0,31.846876229092679,-90.395757742171043,77.1556396484375,31.93881571054748,-90.384790410094553,513,14880,14882
1,8.63011455535889,0.0,1.0,41.914055777670129,-72.625992897315413,47.2866744995117,41.95478789795051,-72.606210784327075,361,14880,14881
1,8.63011455535889,0.0,1.0,41.914055777670129,-72.625992897315413,40.1508369445801,41.997784050557321,-72.60410382723137,540,14880,14882
1,0.0,0.0,1.0,37.22968415987237,-120.24681610173475,0.111846797168255,37.229695912002512,-120.24680116488798,271,14880,14881
1,76.2975463867188,0.0,1.0,35.17318577402721,-97.413688871272925,13.5782260894775,35.220860624981356,-97.443637467432382,367,14880,14881
1,76.2975463867188,0.0,1.0,35.17318577402721,-97.413688871272925,47.9387702941895,35.245970106662433,-97.459500714729018,526,14880,14882
1,46.295711517334,0.0,1.0,45.475408298080623,-122.63981549198279,12.4619922637939,45.521980535610638,-122.66484773360712,346,14880,14881
1,46.295711517334,0.0,1.0,45.475408298080623,-122.63981549198279,3.34869909286499,45.528081005357912,-122.66804924986673,542,14880,14882
1,0.0,0.0,1.0,39.955387551192388,-75.181184637699346,8.88560581207275,39.958138528902452,-75.18139302831807,442,14880,14881
1,16.5284690856934,0.0,1.0,41.495746766667,-87.703779232936185,0.0559233911335468,41.563800574269848,-87.667441821954881,439,14880,14881
1,45.7577590942383,0.0,1.0,47.68754376015108,-122.40211453336849,51.2693214416504,47.736571357343081,-122.37547716046311,322,14881,14882
1,0.0,0.0,1.0,41.879007853244069,-87.6393057527007,14.1195650100708,41.871584458508011,-87.637812411734188,365,14881,14887
1,25.159309387207,0.0,1.0,29.9792956858575,-81.682910352281979,79.7715148925781,30.042241181703758,-81.732363434953868,374,14881,14882
1,77.2974624633789,0.0,1.0,41.541947200269384,-73.975663721156437,26.7895927429199,41.5826008781576,-73.947283164619265,179,14881,14882
1,77.2974624633789,0.0,1.0,41.541947200269384,-73.975663721156437,79.3397903442383,41.677615543877842,-73.939844889320966,536,14881,14883
1,10.1042575836182,0.0,1.0,42.578960745898115,-87.904974164629479,3.99293780326843,42.58023124338429,-87.904957960983168,179,14881,14882
